#ELSD# 2048 1024 texture1.pgm (width height input)
# FORMAT:
#   line <x1> <y1> <x2> <y2>
#   circle <cx> <cy> <rx> <ry> <angle_start> <angle_end>
#   eclipse <x> <y> <rx> <ry> <rotation> <angle_start> <angle_end>
line 1327.552865 558.581938 1334.356174 564.397025
line 1605.712042 560.606653 1609.854840 580.260368
line 1057.557696 634.028913 1074.746853 667.936492
line 269.418483 326.998116 217.964695 345.171122
line 1943.111107 643.282991 1996.900109 642.598683
line 1835.105038 662.936213 1774.431908 674.669278
line 1750.711740 303.293435 1728.348880 314.809740
line 111.317425 556.920096 107.174996 505.701834
line 0.598631 637.905949 63.244145 630.364753
line 1841.219756 701.252313 1876.682468 690.017284
line 1786.144052 735.056786 1857.794416 717.987348
line 83.119300 502.721986 110.649153 502.332594
line 878.573279 565.666335 885.026067 495.685033
line 1225.557737 583.021894 1240.725496 583.911458
line 64.264895 630.080956 106.079044 621.618490
line 2031.893324 391.614662 2046.013283 392.608507
line 1910.750891 616.720961 1912.959660 600.602343
line 1695.624101 613.118151 1680.394288 615.118164
line 1135.544176 620.130026 1108.161944 624.601249
line 1174.740281 652.513216 1163.695876 645.918878
line 677.547795 644.027980 693.622008 654.302981
line 1077.052990 471.819762 1075.764900 496.817799
line 1957.955059 484.343900 1958.238860 505.606796
line 1608.445522 628.103203 1605.212839 580.568022
line 1997.906635 641.706033 2045.700331 637.795734
line 1590.098271 722.510592 1554.468404 763.055549
line 1896.747849 659.541046 1893.259426 630.608792
line 1079.473505 485.689219 1086.484361 474.935245
line 2004.480223 600.667585 2008.661469 590.336224
line 1157.852809 662.052423 1177.834817 656.981527
line 1701.916279 471.652588 1553.108017 467.480804
line 934.952010 544.432421 936.811876 525.743112
line 46.591128 568.671187 52.824679 586.177044
line 39.333997 590.432965 40.944817 600.574201
line 1701.872851 593.993685 1720.629301 593.887962
line 2007.352695 590.767440 2017.279291 578.450840
line 1641.542536 700.570934 1640.070167 675.584037
line 1004.281083 539.298760 1006.056216 508.007639
line 1148.001195 523.903210 1157.067243 545.544465
line -0.349363 391.730590 5.827688 390.185121
line 83.811896 494.325936 83.101234 484.376698
line 1569.314077 553.071679 1595.681754 551.839146
line 674.931211 672.370781 663.464578 663.914534
line 208.031485 443.960681 119.940770 463.843528
line 1695.613144 563.273541 1675.640613 561.679385
line 1569.482322 599.303483 1567.110916 554.296707
line 84.773752 482.953071 96.296700 478.691015
line 1372.481033 641.860399 1372.934285 621.870676
line 1619.836951 405.190998 1608.055379 393.213891
line 1721.882642 579.528706 1705.548725 580.340746
line 1343.147606 587.223894 1363.166366 587.726114
line 1782.705008 449.170432 1702.864708 472.223525
line 1322.225900 511.843732 1321.616521 529.366011
line 450.697738 832.128093 543.162675 827.653532
line 1004.455979 504.459076 956.838410 501.151818
line 1033.061381 529.339637 1048.115882 529.728236
line 51.718684 587.953916 41.702379 589.055684
line 1542.601780 599.334145 1541.901315 586.873521
